natmass,age,sex,sei10,region,polviews
About right,44,Male,69.3,W. sou. central,Conservative
Too little,68,Female,21.8,W. sou. central,Slightly liberal
Too little,73,Female,29.6,W. sou. central,Slightly liberal
About right,57,Female,43.9,W. sou. central,Slightly liberal
About right,57,Female,79.9,South atlantic,Moderate
Too little,48,Female,61.4,South atlantic,Slghtly conservative
Too little,58,Female,20.1,South atlantic,Slghtly conservative
About right,36,Female,45,Middle atlantic,Moderate
Too little,79,Female,82.5,Middle atlantic,Extremely liberal
About right,55,Male,78.3,Middle atlantic,Moderate
About right,19,Male,0,Middle atlantic,Conservative
Too little,54,Female,41,Middle atlantic,Slghtly conservative
Too little,60,Male,68,Middle atlantic,Slghtly conservative
About right,52,Female,38.3,Middle atlantic,Conservative
Too little,80,Female,79.9,Middle atlantic,Slghtly conservative
About right,58,Male,79.3,Middle atlantic,Conservative
About right,69,Female,20.8,Middle atlantic,Moderate
About right,49,Female,88.3,Middle atlantic,Liberal
About right,75,Male,39.7,Middle atlantic,Slghtly conservative
About right,67,Female,54.6,Middle atlantic,Moderate
About right,51,Female,28.6,Middle atlantic,Moderate
About right,57,Female,60.5,Middle atlantic,Slightly liberal
About right,34,Male,80.7,Middle atlantic,Moderate
About right,29,Female,0,Middle atlantic,Slightly liberal
About right,49,Female,37.6,Middle atlantic,Moderate
Too little,52,Female,88,Middle atlantic,Moderate
Too little,54,Male,92.8,Middle atlantic,Conservative
About right,48,Female,41.1,Middle atlantic,Conservative
Too little,34,Female,68.6,Middle atlantic,Liberal
About right,30,Female,92.8,Middle atlantic,Slghtly conservative
Too much,77,Female,0,Middle atlantic,Conservative
About right,78,Female,20.1,Middle atlantic,Moderate
Too little,47,Male,38.8,Middle atlantic,Moderate
About right,58,Male,13.6,Middle atlantic,Moderate
Too little,52,Male,46,Middle atlantic,Conservative
About right,49,Female,35.8,Middle atlantic,Conservative
Too little,83,Female,75.5,Middle atlantic,Moderate
Too little,23,Male,0,Middle atlantic,Liberal
About right,36,Female,80.7,Middle atlantic,Moderate
About right,79,Female,80.9,Middle atlantic,Liberal
Too much,61,Female,51.7,Middle atlantic,Conservative
About right,40,Male,42.2,Middle atlantic,Slghtly conservative
About right,27,Female,14.6,Middle atlantic,Conservative
Too little,57,Female,57.1,Middle atlantic,Extremely liberal
About right,27,Male,39.9,Middle atlantic,Slightly liberal
About right,66,Female,14,Middle atlantic,Slightly liberal
About right,57,Female,33.4,Middle atlantic,Moderate
About right,28,Female,13.6,Middle atlantic,Moderate
About right,33,Female,63.7,Middle atlantic,Slghtly conservative
About right,39,Male,67.7,Middle atlantic,Moderate
Too little,27,Male,71.7,Middle atlantic,Slightly liberal
Too little,34,Male,80.7,Middle atlantic,Moderate
Too little,28,Male,65.3,Middle atlantic,Slghtly conservative
Too little,50,Male,54.6,Middle atlantic,Moderate
About right,30,Male,51.8,Middle atlantic,Slightly liberal
About right,68,Female,31.6,Middle atlantic,Conservative
Too little,70,Female,26.5,Middle atlantic,Slghtly conservative
About right,55,Male,32,W. sou. central,Liberal
About right,59,Male,31.3,W. sou. central,Moderate
About right,60,Female,35.8,W. sou. central,Moderate
About right,19,Female,9,W. sou. central,Conservative
Too little,19,Male,0,W. sou. central,Conservative
Too little,27,Male,38.8,W. sou. central,Liberal
Too much,33,Female,56.9,W. sou. central,Conservative
Too little,79,Male,21.3,W. sou. central,Extremely liberal
Too little,56,Male,17.5,W. sou. central,Moderate
Too little,53,Male,24.1,W. sou. central,Moderate
About right,32,Male,31.2,W. sou. central,Extremely liberal
About right,21,Male,20.7,W. sou. central,Liberal
Too little,42,Male,25.2,W. sou. central,Slghtly conservative
Too little,28,Female,37.2,W. sou. central,Moderate
Too little,40,Male,52.1,W. sou. central,Slghtly conservative
About right,44,Male,31.1,W. sou. central,Moderate
About right,22,Male,38.2,W. sou. central,Moderate
Too little,35,Female,87.9,W. sou. central,Moderate
Too little,64,Female,26.1,W. sou. central,Moderate
Too little,40,Female,80.9,W. sou. central,Slghtly conservative
Too little,36,Female,50.3,W. sou. central,Slghtly conservative
Too little,51,Female,13.6,W. sou. central,Slghtly conservative
Too much,54,Male,61.4,W. sou. central,Moderate
About right,36,Male,51.9,W. sou. central,Moderate
About right,37,Male,36.2,W. sou. central,Slightly liberal
Too little,50,Female,20.7,W. sou. central,Liberal
About right,25,Female,38.1,W. sou. central,Liberal
About right,22,Female,37.6,W. sou. central,Liberal
About right,40,Female,19.7,W. sou. central,Extrmly conservative
About right,28,Female,0,W. sou. central,Extremely liberal
About right,40,Female,38.8,W. sou. central,Moderate
Too little,59,Female,61.9,W. sou. central,Moderate
About right,26,Male,61.4,W. sou. central,Liberal
About right,27,Male,27,W. sou. central,Slightly liberal
About right,69,Female,20.1,W. sou. central,Conservative
About right,53,Female,27,W. sou. central,Extremely liberal
Too much,52,Male,39.7,W. sou. central,Conservative
About right,42,Male,62.6,W. sou. central,Extremely liberal
Too little,60,Male,62,W. sou. central,Moderate
Too little,59,Female,80.7,W. sou. central,Slightly liberal
About right,57,Male,54.3,W. sou. central,Moderate
Too much,30,Female,20.1,South atlantic,Moderate
About right,37,Female,80.9,South atlantic,Extremely liberal
About right,40,Female,13.6,South atlantic,Extrmly conservative
Too little,33,Male,17.1,South atlantic,Moderate
About right,51,Female,57.8,South atlantic,Slghtly conservative
About right,46,Male,46.2,South atlantic,Conservative
About right,52,Female,82.5,South atlantic,Slightly liberal
About right,56,Female,76.3,South atlantic,Conservative
About right,25,Male,59.1,South atlantic,Conservative
About right,48,Female,21.8,South atlantic,Slghtly conservative
About right,19,Female,0,South atlantic,Slightly liberal
Too much,36,Female,12.6,South atlantic,Liberal
Too little,28,Female,13.6,South atlantic,Extremely liberal
Too little,23,Male,19.6,South atlantic,Extremely liberal
About right,29,Female,37.2,South atlantic,Moderate
Too little,69,Male,31.6,South atlantic,Moderate
Too little,35,Male,64.5,South atlantic,Liberal
About right,38,Female,41.1,South atlantic,Slghtly conservative
About right,31,Female,20.1,South atlantic,Moderate
Too little,42,Female,33.4,South atlantic,Conservative
Too little,78,Male,84.5,South atlantic,Liberal
About right,31,Female,20.7,South atlantic,Extrmly conservative
Too little,67,Female,12.6,South atlantic,Slightly liberal
Too little,48,Female,73.5,South atlantic,Conservative
Too little,68,Male,38.1,South atlantic,Extremely liberal
About right,42,Male,25,South atlantic,Slghtly conservative
About right,65,Female,69.5,South atlantic,Liberal
About right,44,Female,54.6,South atlantic,Liberal
Too little,77,Female,38.8,South atlantic,Slghtly conservative
About right,62,Female,69.3,South atlantic,Liberal
Too little,51,Male,59.1,South atlantic,Slightly liberal
About right,21,Female,0,South atlantic,Moderate
About right,28,Female,71.6,South atlantic,Moderate
Too little,20,Female,0,South atlantic,Liberal
About right,19,Female,38.3,South atlantic,Slghtly conservative
About right,53,Female,43,South atlantic,Conservative
Too little,40,Female,28.7,South atlantic,Slightly liberal
Too little,51,Male,67.7,South atlantic,Moderate
Too little,65,Male,20.5,South atlantic,Slghtly conservative
Too little,51,Female,64.5,South atlantic,Moderate
About right,60,Male,60.3,South atlantic,Moderate
About right,57,Male,84,South atlantic,Moderate
About right,70,Female,38.8,South atlantic,Slightly liberal
About right,53,Female,0,South atlantic,Slightly liberal
About right,37,Female,63.3,South atlantic,Moderate
Too much,56,Male,25.2,South atlantic,Conservative
About right,59,Female,21.8,South atlantic,Moderate
Too little,21,Female,0,South atlantic,Slightly liberal
Too little,59,Male,70.4,South atlantic,Slghtly conservative
Too little,66,Male,38.2,South atlantic,Moderate
Too little,56,Male,60.5,South atlantic,Moderate
About right,56,Female,21.8,South atlantic,Liberal
About right,87,Female,15.8,South atlantic,Conservative
About right,22,Female,37.6,South atlantic,Moderate
About right,51,Male,20.7,South atlantic,Moderate
About right,56,Female,35.8,South atlantic,Moderate
About right,47,Female,45.3,South atlantic,Slghtly conservative
About right,18,Male,0,South atlantic,Moderate
Too little,26,Female,49.3,South atlantic,Moderate
Too little,27,Female,24.2,South atlantic,Slightly liberal
About right,33,Female,35.8,South atlantic,Slghtly conservative
About right,31,Female,29.9,South atlantic,Conservative
Too little,70,Female,84.5,South atlantic,Moderate
Too little,51,Female,43,South atlantic,Extremely liberal
About right,87,Female,59.1,South atlantic,Moderate
Too little,54,Female,77.4,South atlantic,Moderate
Too little,81,Female,79.3,South atlantic,Liberal
Too little,25,Male,34.7,South atlantic,Liberal
About right,47,Male,32.6,South atlantic,Conservative
About right,65,Male,69.4,South atlantic,Slghtly conservative
Too little,46,Male,37.6,E. nor. central,Slghtly conservative
Too little,51,Male,99.9,E. nor. central,Slightly liberal
About right,53,Male,87.3,E. nor. central,Moderate
About right,45,Female,89.4,E. nor. central,Moderate
Too little,18,Female,19.6,E. nor. central,Slightly liberal
Too little,52,Female,72.7,E. nor. central,Extremely liberal
About right,56,Female,28.7,E. nor. central,Moderate
Too little,34,Male,37.6,E. nor. central,Slightly liberal
About right,58,Female,41.1,E. nor. central,Conservative
About right,59,Male,42.7,E. nor. central,Moderate
Too little,69,Female,63.7,E. nor. central,Conservative
Too much,67,Female,20.7,E. nor. central,Liberal
About right,54,Female,62.9,E. nor. central,Moderate
Too little,53,Male,65.1,E. nor. central,Conservative
About right,47,Female,71.8,E. nor. central,Extremely liberal
Too little,47,Male,65.3,E. nor. central,Slightly liberal
About right,32,Female,56.8,E. nor. central,Moderate
About right,28,Female,43,E. nor. central,Slightly liberal
About right,23,Female,27,E. nor. central,Moderate
Too little,53,Female,84.2,E. nor. central,Conservative
About right,51,Male,32,E. nor. central,Moderate
Too little,66,Female,63.7,E. nor. central,Liberal
About right,54,Male,86.5,E. nor. central,Slghtly conservative
Too little,68,Male,36.2,E. nor. central,Liberal
About right,58,Male,62,E. nor. central,Conservative
Too little,47,Male,77.4,E. nor. central,Conservative
Too little,33,Female,56.9,E. nor. central,Slghtly conservative
Too little,66,Female,38.8,E. nor. central,Moderate
Too little,27,Male,46.5,E. nor. central,Liberal
About right,54,Male,32,E. nor. central,Liberal
Too little,53,Male,34.4,E. nor. central,Slightly liberal
About right,54,Male,84.2,E. nor. central,Moderate
About right,67,Male,43,E. nor. central,Slightly liberal
About right,67,Female,20.1,E. nor. central,Extrmly conservative
About right,65,Female,84.2,E. nor. central,Moderate
Too little,23,Female,73.9,E. nor. central,Slightly liberal
About right,27,Female,54.6,E. nor. central,Moderate
About right,28,Male,25,E. nor. central,Moderate
Too little,34,Female,55.3,E. nor. central,Moderate
Too little,27,Female,66.1,E. nor. central,Moderate
Too little,60,Male,20.7,E. nor. central,Moderate
About right,26,Male,25,E. nor. central,Slightly liberal
About right,74,Female,24.6,E. nor. central,Moderate
Too little,31,Male,27.4,E. nor. central,Slightly liberal
Too little,63,Male,39.6,E. nor. central,Moderate
About right,72,Female,50.1,E. nor. central,Moderate
Too little,25,Male,73.4,E. nor. central,Liberal
Too much,35,Male,21.6,Pacific,Moderate
About right,56,Male,52.4,Pacific,Slghtly conservative
About right,20,Female,0,Pacific,Slightly liberal
Too little,75,Male,45.4,Pacific,Moderate
Too little,43,Female,69.3,Pacific,Slghtly conservative
About right,28,Female,41.1,Pacific,Liberal
Too little,68,Male,46,Pacific,Moderate
About right,61,Female,41.1,Pacific,Moderate
Too little,46,Female,19.6,Pacific,Slightly liberal
Too little,53,Male,76.3,Pacific,Moderate
Too little,35,Female,67.7,Pacific,Moderate
Too little,70,Female,87.9,Pacific,Moderate
About right,59,Female,20.9,Pacific,Moderate
About right,47,Male,36.4,Pacific,Slightly liberal
Too little,22,Female,38.2,Pacific,Moderate
About right,65,Female,84.2,Pacific,Slghtly conservative
Too little,81,Female,63.7,Pacific,Slghtly conservative
Too little,74,Male,69.3,Pacific,Moderate
Too little,77,Female,80.9,Pacific,Liberal
Too little,22,Male,19.6,Pacific,Moderate
Too little,54,Male,81.9,Pacific,Moderate
Too little,48,Female,67.7,Pacific,Liberal
Too little,43,Male,59.8,Pacific,Moderate
About right,27,Female,37.6,Pacific,Slghtly conservative
About right,30,Female,87.9,Pacific,Moderate
About right,55,Female,0,Pacific,Slightly liberal
About right,40,Male,87.9,Pacific,Liberal
Too little,51,Male,55.3,Pacific,Moderate
Too little,21,Female,22.4,Pacific,Slghtly conservative
About right,29,Male,27,Pacific,Slghtly conservative
Too little,83,Female,25,Pacific,Moderate
About right,81,Female,35.8,Pacific,Slightly liberal
Too much,66,Female,43.8,Pacific,Moderate
About right,72,Male,59.1,Pacific,Slghtly conservative
Too little,78,Female,59.1,Pacific,Conservative
Too little,80,Male,59.1,Pacific,Slightly liberal
Too much,60,Female,62.1,Pacific,Conservative
Too little,24,Male,18.6,Pacific,Liberal
Too little,81,Male,43,Pacific,Liberal
Too little,33,Female,32.6,Pacific,Moderate
About right,23,Male,43.9,Pacific,Moderate
About right,22,Female,46.6,Pacific,Moderate
About right,31,Male,63.1,Pacific,Slightly liberal
Too much,34,Female,39.7,Pacific,Liberal
Too little,87,Female,28.7,Pacific,Moderate
About right,47,Female,39.7,Pacific,Moderate
About right,35,Male,31.3,Pacific,Moderate
About right,76,Female,20.1,Pacific,Moderate
About right,44,Female,62.6,Mountain,Moderate
About right,27,Female,80.9,Mountain,Conservative
About right,19,Female,42.9,Mountain,Conservative
About right,39,Female,21.5,Mountain,Moderate
Too little,58,Female,84.2,Mountain,Liberal
About right,42,Female,23.8,Mountain,Moderate
Too little,71,Female,24.6,Mountain,Slghtly conservative
About right,43,Female,35.8,Mountain,Moderate
About right,30,Female,39.7,Mountain,Slightly liberal
Too little,51,Female,82.5,Mountain,Slghtly conservative
About right,39,Female,78.3,Mountain,Moderate
About right,27,Female,0,Mountain,Slightly liberal
Too little,66,Male,89.3,Mountain,Slghtly conservative
About right,60,Male,79.4,Mountain,Slightly liberal
Too little,19,Female,21.6,Mountain,Moderate
About right,30,Male,65.3,Mountain,Conservative
About right,37,Female,33.4,Mountain,Extremely liberal
Too little,50,Male,24,Mountain,Conservative
About right,35,Female,20.1,Mountain,Moderate
About right,44,Male,67.7,Mountain,Liberal
About right,70,Female,12.6,Mountain,Moderate
Too little,20,Female,17,Mountain,Liberal
About right,33,Female,0,Mountain,Moderate
About right,51,Male,46,Mountain,Moderate
About right,62,Male,18.6,Mountain,Liberal
Too much,46,Female,21.6,Mountain,Moderate
Too little,47,Male,28.7,Mountain,Moderate
Too little,56,Female,38.3,Mountain,Moderate
About right,27,Female,62.9,Mountain,Moderate
Too little,63,Female,68.6,Mountain,Liberal
About right,38,Female,84.2,Mountain,Moderate
Too little,35,Male,25.2,Mountain,Slghtly conservative
Too little,79,Female,15.8,Mountain,Extrmly conservative
About right,47,Male,46,Mountain,Moderate
Too little,43,Male,63.7,Mountain,Liberal
Too little,34,Female,0,Mountain,Liberal
Too little,43,Female,20.7,Mountain,Moderate
Too much,44,Female,99.9,W. nor. central,Slightly liberal
Too much,54,Female,21.8,W. nor. central,Moderate
Too little,79,Female,43.9,W. nor. central,Liberal
About right,59,Male,32.6,W. nor. central,Liberal
About right,28,Female,24.2,W. nor. central,Liberal
About right,63,Female,47.9,W. nor. central,Extrmly conservative
Too much,24,Female,99.9,W. nor. central,Moderate
About right,29,Male,32,W. nor. central,Moderate
Too little,46,Male,26.1,W. nor. central,Liberal
About right,73,Female,14,W. nor. central,Moderate
Too much,57,Male,28.7,W. nor. central,Slightly liberal
About right,20,Female,23.8,W. nor. central,Moderate
Too much,51,Male,91.1,W. nor. central,Conservative
About right,43,Male,57.4,W. nor. central,Slghtly conservative
Too little,65,Male,62.4,W. nor. central,Moderate
About right,28,Male,27.6,W. nor. central,Moderate
About right,25,Male,19.7,W. nor. central,Liberal
About right,40,Male,13.6,W. nor. central,Conservative
Too little,34,Male,81,W. nor. central,Moderate
About right,27,Male,59.4,W. nor. central,Moderate
About right,59,Female,84.2,W. nor. central,Slightly liberal
About right,25,Female,43,E. nor. central,Moderate
About right,56,Male,25.2,E. nor. central,Extrmly conservative
About right,61,Female,76.3,E. nor. central,Slghtly conservative
About right,56,Female,63.7,E. nor. central,Moderate
About right,46,Female,19.6,Pacific,Slghtly conservative
Too little,35,Female,62.9,Pacific,Liberal
Too little,31,Female,54.6,Pacific,Liberal
About right,57,Male,36.2,Pacific,Moderate
Too little,50,Female,68.6,Pacific,Moderate
About right,25,Male,23.3,Pacific,Moderate
About right,59,Female,37.6,Pacific,Moderate
Too little,73,Male,39.6,Pacific,Liberal
About right,60,Male,31.2,Pacific,Moderate
Too little,66,Male,50.4,Pacific,Moderate
About right,84,Male,43.9,Pacific,Moderate
About right,57,Female,21.8,Pacific,Slightly liberal
About right,68,Male,50.4,Pacific,Conservative
Too little,35,Female,60.3,Pacific,Moderate
About right,28,Female,71.8,Pacific,Conservative
Too little,42,Female,78.3,Pacific,Moderate
Too little,38,Female,18.6,Mountain,Moderate
About right,69,Male,44.5,Mountain,Moderate
About right,68,Male,67.7,Mountain,Moderate
About right,44,Male,27.4,Mountain,Slightly liberal
Too little,67,Male,33.9,Mountain,Conservative
About right,28,Female,43,Mountain,Slghtly conservative
About right,45,Female,88.7,Mountain,Moderate
About right,62,Male,84.5,Mountain,Conservative
Too little,68,Female,82.5,Mountain,Liberal
About right,34,Female,59.1,Mountain,Slghtly conservative
About right,32,Female,82.5,Mountain,Liberal
Too much,24,Female,14,Mountain,Extremely liberal
Too much,31,Female,41.1,Mountain,Liberal
About right,32,Female,62.4,Mountain,Moderate
About right,22,Male,19.6,Mountain,Liberal
Too little,25,Male,34.7,Mountain,Moderate
About right,35,Female,12.6,Mountain,Conservative
About right,64,Female,41.8,Mountain,Slightly liberal
About right,26,Male,23.7,Mountain,Moderate
Too little,30,Male,19.6,Mountain,Moderate
Too little,63,Male,82.5,Mountain,Extremely liberal
Too little,46,Male,62.4,Mountain,Slghtly conservative
About right,24,Male,19.6,Mountain,Moderate
About right,61,Male,62,Mountain,Moderate
About right,57,Female,84.2,Mountain,Conservative
Too little,40,Male,72.7,Mountain,Extremely liberal
About right,42,Female,41.1,Mountain,Liberal
Too little,64,Female,52,Mountain,Slghtly conservative
Too little,50,Female,23.3,Mountain,Extremely liberal
About right,41,Male,84.5,Mountain,Slghtly conservative
About right,58,Male,59.9,Mountain,Slightly liberal
Too little,71,Female,43,Mountain,Moderate
Too little,58,Female,77.4,Mountain,Slghtly conservative
About right,55,Male,69.3,Mountain,Moderate
Too little,65,Female,39.7,Mountain,Extremely liberal
About right,27,Male,62,Mountain,Moderate
Too little,43,Male,59.1,Mountain,Liberal
Too little,29,Female,37.2,Mountain,Liberal
Too little,56,Male,51.5,Mountain,Liberal
Too little,67,Female,80.9,Mountain,Liberal
Too little,21,Male,25.4,Mountain,Liberal
About right,69,Male,31.2,Mountain,Extrmly conservative
About right,62,Female,39.7,E. nor. central,Moderate
About right,23,Female,24.2,E. nor. central,Moderate
Too little,43,Female,57.4,E. nor. central,Conservative
Too little,46,Female,43.9,E. nor. central,Conservative
Too much,34,Male,69.3,E. nor. central,Slightly liberal
Too little,40,Male,91.1,E. nor. central,Moderate
About right,56,Male,42.9,E. nor. central,Moderate
Too much,25,Female,80.9,E. nor. central,Slightly liberal
About right,77,Female,38.8,E. nor. central,Moderate
Too little,30,Male,61.4,E. nor. central,Extremely liberal
Too little,70,Male,52.1,E. nor. central,Extremely liberal
About right,70,Female,69.3,E. nor. central,Liberal
Too little,79,Male,33.9,E. nor. central,Conservative
Too little,59,Male,51.7,E. nor. central,Moderate
About right,61,Female,62.9,E. nor. central,Liberal
Too much,68,Male,46.5,E. nor. central,Moderate
About right,29,Male,66.2,E. nor. central,Conservative
Too little,31,Female,24.2,E. nor. central,Moderate
Too little,32,Male,62.9,E. nor. central,Liberal
About right,27,Female,13.6,E. nor. central,Liberal
Too much,47,Male,32,E. nor. central,Extremely liberal
About right,35,Male,50.4,E. nor. central,Moderate
About right,54,Male,38.4,E. nor. central,Moderate
About right,54,Male,99.9,E. nor. central,Moderate
About right,31,Male,38.8,E. nor. central,Liberal
Too little,55,Female,25,E. nor. central,Moderate
About right,61,Female,75.5,E. nor. central,Moderate
About right,26,Male,83.8,E. nor. central,Liberal
About right,60,Female,49.4,E. nor. central,Conservative
Too little,60,Female,26.5,E. nor. central,Moderate
Too little,25,Male,67.8,E. nor. central,Conservative
About right,56,Male,62.6,W. nor. central,Moderate
Too much,57,Male,65.3,W. nor. central,Moderate
About right,49,Male,34.7,W. nor. central,Extrmly conservative
About right,82,Male,13.6,W. nor. central,Slghtly conservative
About right,53,Male,32.6,W. nor. central,Slightly liberal
Too little,22,Female,12.6,W. nor. central,Moderate
Too little,29,Male,25.2,W. nor. central,Moderate
About right,50,Female,46.6,W. nor. central,Moderate
Too little,35,Female,26.5,W. nor. central,Moderate
Too little,56,Male,87.9,W. nor. central,Conservative
Too little,82,Male,99.9,W. nor. central,Slightly liberal
Too little,39,Male,43.9,W. nor. central,Moderate
About right,50,Female,39.7,W. nor. central,Conservative
About right,50,Female,19.6,W. nor. central,Moderate
Too little,22,Male,58.4,W. nor. central,Moderate
Too little,52,Female,46.5,W. nor. central,Liberal
About right,38,Female,34.8,W. nor. central,Slghtly conservative
Too little,39,Female,43,W. nor. central,Slightly liberal
Too little,38,Male,33.9,W. nor. central,Moderate
About right,62,Female,35.8,W. nor. central,Conservative
Too little,43,Female,33.2,W. nor. central,Liberal
About right,53,Female,42.8,W. nor. central,Slghtly conservative
Too little,39,Male,28.4,W. nor. central,Slghtly conservative
About right,23,Female,19.6,W. nor. central,Moderate
About right,69,Female,68,W. nor. central,Liberal
Too little,56,Female,14,W. nor. central,Moderate
Too much,77,Male,84.5,W. nor. central,Conservative
Too little,77,Male,38.3,W. nor. central,Slghtly conservative
About right,61,Male,35.3,W. nor. central,Extrmly conservative
Too little,39,Female,71.6,W. nor. central,Conservative
About right,83,Female,20.7,W. nor. central,Extremely liberal
About right,65,Male,32,W. nor. central,Slghtly conservative
About right,59,Male,32,South atlantic,Conservative
Too little,63,Female,66.4,South atlantic,Moderate
Too little,50,Male,28.7,South atlantic,Moderate
About right,72,Male,48.3,South atlantic,Slghtly conservative
Too little,42,Female,57.8,South atlantic,Moderate
About right,75,Male,62,South atlantic,Moderate
About right,40,Female,37.6,South atlantic,Moderate
Too little,69,Female,59.1,South atlantic,Liberal
Too little,62,Female,76.3,South atlantic,Extremely liberal
About right,42,Male,83.8,South atlantic,Conservative
Too little,82,Female,84.2,South atlantic,Slghtly conservative
About right,74,Female,25.7,South atlantic,Extrmly conservative
About right,83,Female,55.3,South atlantic,Moderate
About right,76,Male,79.3,South atlantic,Slightly liberal
Too little,23,Male,84.5,South atlantic,Slightly liberal
Too little,19,Male,21.6,South atlantic,Liberal
About right,51,Female,25.7,South atlantic,Moderate
Too little,37,Female,45.4,South atlantic,Liberal
About right,28,Male,47.9,South atlantic,Slghtly conservative
About right,31,Male,87.9,South atlantic,Slghtly conservative
Too little,43,Male,61.4,South atlantic,Moderate
About right,89 or older,Male,57.4,South atlantic,Slightly liberal
About right,19,Female,21.6,South atlantic,Moderate
About right,58,Male,28.4,South atlantic,Moderate
About right,38,Male,70.5,South atlantic,Moderate
About right,47,Female,80.9,South atlantic,Extrmly conservative
Too little,48,Female,12.6,South atlantic,Conservative
Too little,38,Male,20.7,South atlantic,Moderate
Too little,26,Male,26.1,South atlantic,Moderate
About right,23,Female,21.8,South atlantic,Extrmly conservative
Too little,44,Female,21.6,South atlantic,Moderate
Too little,30,Female,20.7,South atlantic,Moderate
About right,35,Male,20.9,South atlantic,Conservative
About right,49,Female,26.1,South atlantic,Liberal
About right,52,Male,23.3,South atlantic,Moderate
About right,73,Male,58.4,South atlantic,Conservative
About right,52,Female,38.8,South atlantic,Slightly liberal
Too little,22,Male,60.3,South atlantic,Moderate
About right,26,Female,64.2,South atlantic,Moderate
Too little,42,Male,24.2,South atlantic,Liberal
Too little,46,Female,59.8,South atlantic,Moderate
Too little,24,Male,23.3,South atlantic,Moderate
About right,27,Female,41.8,South atlantic,Moderate
About right,33,Female,32.6,South atlantic,Moderate
Too little,54,Female,86.7,South atlantic,Conservative
About right,47,Male,35.2,South atlantic,Moderate
Too little,62,Male,72.7,South atlantic,Extremely liberal
Too little,48,Male,32,South atlantic,Moderate
Too little,41,Female,19.6,South atlantic,Extrmly conservative
Too little,32,Male,84.5,South atlantic,Extremely liberal
Too little,31,Male,32,South atlantic,Moderate
Too little,40,Male,64.5,South atlantic,Moderate
About right,37,Female,60.3,South atlantic,Conservative
About right,40,Female,76.7,South atlantic,Slghtly conservative
Too little,36,Male,57.3,South atlantic,Slghtly conservative
Too little,47,Male,37.2,South atlantic,Extremely liberal
Too little,37,Female,91.1,South atlantic,Slightly liberal
Too little,89 or older,Male,39,South atlantic,Moderate
About right,71,Female,26.1,South atlantic,Moderate
Too much,21,Female,24.6,South atlantic,Liberal
Too little,67,Female,59.1,South atlantic,Extremely liberal
About right,34,Male,20.7,Pacific,Slightly liberal
Too little,65,Male,23.8,Pacific,Moderate
About right,68,Female,21.6,Pacific,Conservative
About right,38,Female,0,Pacific,Slghtly conservative
About right,67,Female,77.2,Pacific,Slightly liberal
Too much,59,Female,24.2,Pacific,Liberal
About right,52,Female,58.4,Pacific,Moderate
About right,49,Female,80.9,Pacific,Moderate
Too little,26,Male,53,Pacific,Moderate
Too little,70,Female,68.6,Pacific,Slghtly conservative
Too little,21,Female,19.6,Pacific,Slghtly conservative
About right,69,Male,12.4,Pacific,Moderate
About right,51,Male,20.9,Pacific,Conservative
Too little,39,Male,73.5,Pacific,Slghtly conservative
About right,35,Male,43,Pacific,Liberal
About right,29,Male,39.7,Pacific,Slghtly conservative
Too little,45,Male,62,Pacific,Slghtly conservative
About right,41,Male,52,Pacific,Liberal
Too much,46,Male,65.3,Pacific,Moderate
About right,23,Male,34.7,Pacific,Conservative
Too little,31,Female,37.6,Pacific,Slightly liberal
About right,47,Male,73.9,Pacific,Extrmly conservative
Too little,58,Female,77.4,Pacific,Liberal
Too little,26,Male,31.2,Pacific,Moderate
Too little,66,Male,84,Middle atlantic,Slightly liberal
About right,35,Female,84.2,Middle atlantic,Slghtly conservative
About right,44,Female,28.6,Middle atlantic,Conservative
About right,66,Male,79.4,Middle atlantic,Slghtly conservative
About right,57,Male,23.3,Middle atlantic,Moderate
About right,27,Female,52,Middle atlantic,Moderate
About right,43,Male,31.2,Middle atlantic,Slightly liberal
About right,64,Male,24.2,Middle atlantic,Moderate
Too much,44,Female,43,Middle atlantic,Conservative
Too little,65,Female,52,Middle atlantic,Liberal
Too little,24,Female,61.4,Middle atlantic,Moderate
Too little,72,Female,20.1,Middle atlantic,Conservative
Too little,22,Male,13.6,Middle atlantic,Liberal
About right,57,Female,71.8,Middle atlantic,Slghtly conservative
About right,63,Female,23.7,Middle atlantic,Slightly liberal
About right,55,Female,26.9,Middle atlantic,Moderate
Too little,56,Male,62.9,Middle atlantic,Slghtly conservative
About right,87,Male,92,Middle atlantic,Conservative
Too much,53,Female,67.7,Middle atlantic,Moderate
Too little,36,Male,92.1,Middle atlantic,Slghtly conservative
About right,52,Female,24.6,Middle atlantic,Slghtly conservative
Too little,37,Male,71.4,Middle atlantic,Liberal
Too little,75,Male,45.1,Middle atlantic,Liberal
About right,28,Female,62.9,Middle atlantic,Conservative
Too little,21,Female,21.8,Middle atlantic,Moderate
About right,68,Female,39.7,Middle atlantic,Slghtly conservative
About right,59,Female,67.7,Middle atlantic,Liberal
About right,40,Male,45.4,Middle atlantic,Slghtly conservative
About right,35,Female,55.3,South atlantic,Moderate
Too little,51,Male,55.3,South atlantic,Slghtly conservative
Too little,40,Male,31.3,South atlantic,Slghtly conservative
Too little,47,Female,39.7,South atlantic,Conservative
Too little,45,Male,87.9,South atlantic,Conservative
About right,48,Female,61.4,South atlantic,Moderate
About right,23,Male,22.9,South atlantic,Moderate
