dep_time,flight,origin,dest,air_time,distance,carrier,date,arr_delay,time_hour
1822,2751,LGA,CLT,75,544,YV,2013-05-20,late,2013-05-20T21:00:00Z
635,343,LGA,DEN,201,1620,UA,2013-08-18,on_time,2013-08-18T10:00:00Z
1354,2177,LGA,DCA,50,214,US,2013-02-05,on_time,2013-02-05T19:00:00Z
1544,763,LGA,DFW,184,1389,AA,2013-04-05,on_time,2013-04-05T19:00:00Z
1938,29,JFK,SFO,330,2586,VX,2013-02-28,on_time,2013-02-28T23:00:00Z
1924,5714,JFK,IAD,49,228,EV,2013-12-13,on_time,2013-12-14T00:00:00Z
1810,477,EWR,LAS,305,2227,UA,2013-01-30,on_time,2013-01-30T23:00:00Z
1726,19,EWR,STL,140,872,WN,2013-10-30,on_time,2013-10-30T21:00:00Z
820,4885,LGA,MCI,152,1107,EV,2013-07-03,on_time,2013-07-03T12:00:00Z
1211,1227,EWR,PHX,298,2133,UA,2013-02-05,on_time,2013-02-05T17:00:00Z
955,1277,LGA,CLT,90,544,US,2013-03-28,on_time,2013-03-28T14:00:00Z
955,1160,LGA,MIA,138,1096,AA,2013-10-12,on_time,2013-10-12T14:00:00Z
756,3528,LGA,JAX,109,833,9E,2013-09-11,on_time,2013-09-11T12:00:00Z
1455,3231,JFK,PIT,64,340,MQ,2013-08-19,on_time,2013-08-19T18:00:00Z
1435,615,JFK,JAX,114,828,B6,2013-05-28,on_time,2013-05-28T18:00:00Z
1302,1008,JFK,BOS,36,187,B6,2013-05-28,on_time,2013-05-28T17:00:00Z
2123,1682,EWR,FLL,131,1065,UA,2013-07-18,late,2013-07-19T00:00:00Z
926,1983,EWR,AUS,187,1504,WN,2013-07-19,on_time,2013-07-19T13:00:00Z
1633,95,JFK,SJU,207,1598,AA,2013-12-10,on_time,2013-12-10T21:00:00Z
825,4297,EWR,DTW,78,488,EV,2013-07-16,on_time,2013-07-16T12:00:00Z
1909,4085,EWR,IND,124,645,EV,2013-04-24,late,2013-04-24T21:00:00Z
1514,1373,JFK,CHS,123,636,B6,2013-12-10,late,2013-12-10T19:00:00Z
1114,249,EWR,TPA,140,997,UA,2013-11-21,on_time,2013-11-21T16:00:00Z
1451,1164,JFK,BOS,33,187,DL,2013-11-17,on_time,2013-11-17T19:00:00Z
1858,951,JFK,ATL,110,760,DL,2013-01-07,on_time,2013-01-07T23:00:00Z
1357,1004,EWR,LAX,340,2454,UA,2013-06-18,late,2013-06-18T17:00:00Z
758,1109,LGA,TPA,138,1010,DL,2013-09-22,on_time,2013-09-22T12:00:00Z
2154,499,LGA,MCO,127,950,B6,2013-09-01,late,2013-09-02T01:00:00Z
1324,3840,EWR,MEM,163,946,EV,2013-02-13,on_time,2013-02-13T18:00:00Z
758,3611,JFK,PIT,63,340,9E,2013-08-27,on_time,2013-08-27T12:00:00Z
1620,137,JFK,RSW,154,1074,B6,2013-04-24,late,2013-04-24T19:00:00Z
1454,1186,EWR,SFO,336,2565,UA,2013-02-24,on_time,2013-02-24T19:00:00Z
1847,4649,LGA,MSP,164,1020,MQ,2013-04-03,on_time,2013-04-03T22:00:00Z
1409,337,LGA,ORD,117,733,AA,2013-11-03,on_time,2013-11-03T19:00:00Z
1503,4502,EWR,BNA,106,748,EV,2013-08-31,on_time,2013-08-31T19:00:00Z
1943,645,JFK,SFO,376,2586,B6,2013-01-20,on_time,2013-01-21T00:00:00Z
1903,4144,EWR,CHS,95,628,EV,2013-12-05,late,2013-12-05T20:00:00Z
1152,766,JFK,SFO,346,2586,UA,2013-09-17,on_time,2013-09-17T16:00:00Z
1214,1690,EWR,MCO,126,937,UA,2013-03-22,on_time,2013-03-22T15:00:00Z
2051,523,JFK,LAX,332,2475,B6,2013-10-20,on_time,2013-10-21T00:00:00Z
2247,718,JFK,BOS,41,187,B6,2013-09-09,on_time,2013-09-10T02:00:00Z
754,3052,JFK,TPA,132,1005,MQ,2013-09-27,on_time,2013-09-27T11:00:00Z
902,1289,EWR,SFO,344,2565,UA,2013-11-11,on_time,2013-11-11T14:00:00Z
1417,1740,EWR,IAH,191,1400,UA,2013-06-30,on_time,2013-06-30T18:00:00Z
703,3,JFK,SJU,195,1598,B6,2013-06-26,on_time,2013-06-26T11:00:00Z
727,1727,EWR,SFO,356,2565,UA,2013-08-15,on_time,2013-08-15T11:00:00Z
1607,2927,JFK,ORD,112,740,9E,2013-11-13,on_time,2013-11-13T20:00:00Z
1111,3792,JFK,DCA,53,213,MQ,2013-02-04,on_time,2013-02-04T16:00:00Z
1932,4431,EWR,SAV,111,708,EV,2013-06-18,late,2013-06-18T20:00:00Z
1349,686,EWR,PHX,319,2133,US,2013-10-30,on_time,2013-10-30T17:00:00Z
1712,3310,JFK,MCI,136,1113,9E,2013-08-25,on_time,2013-08-25T21:00:00Z
1440,2918,JFK,IND,110,665,9E,2013-11-06,on_time,2013-11-06T19:00:00Z
750,59,JFK,SFO,321,2586,AA,2013-07-01,on_time,2013-07-01T11:00:00Z
836,3422,JFK,BOS,41,187,9E,2013-02-15,on_time,2013-02-15T13:00:00Z
740,807,EWR,ATL,122,746,DL,2013-12-23,on_time,2013-12-23T12:00:00Z
2233,705,EWR,FLL,162,1065,B6,2013-12-23,late,2013-12-24T02:00:00Z
927,462,EWR,FLL,142,1065,UA,2013-08-27,on_time,2013-08-27T13:00:00Z
832,3489,LGA,RSW,149,1080,9E,2013-09-20,on_time,2013-09-20T12:00:00Z
1352,4633,EWR,BTV,47,266,EV,2013-07-03,on_time,2013-07-03T17:00:00Z
1927,2140,LGA,BOS,41,184,US,2013-04-12,late,2013-04-12T23:00:00Z
1410,3852,EWR,DTW,89,488,EV,2013-10-18,late,2013-10-18T16:00:00Z
1326,533,EWR,PHX,278,2133,UA,2013-10-22,late,2013-10-22T16:00:00Z
641,15,JFK,PHX,261,2153,US,2013-07-19,on_time,2013-07-19T10:00:00Z
2154,1103,JFK,SJU,187,1598,B6,2013-10-03,on_time,2013-10-04T01:00:00Z
1603,4,JFK,MCO,126,944,DL,2013-05-22,on_time,2013-05-22T19:00:00Z
1600,543,EWR,PBI,125,1023,B6,2013-08-06,on_time,2013-08-06T20:00:00Z
1215,3572,LGA,CLE,71,419,MQ,2013-10-17,on_time,2013-10-17T15:00:00Z
1310,1895,EWR,CLT,78,529,US,2013-06-26,on_time,2013-06-26T17:00:00Z
1535,4580,EWR,MKE,121,725,EV,2013-12-30,on_time,2013-12-30T20:00:00Z
603,1837,LGA,MIA,146,1096,AA,2013-08-03,on_time,2013-08-03T10:00:00Z
1344,4129,EWR,DCA,40,199,EV,2013-06-12,late,2013-06-12T17:00:00Z
703,1653,EWR,SJU,189,1608,UA,2013-02-22,on_time,2013-02-22T12:00:00Z
1843,3496,LGA,PIT,61,335,9E,2013-12-20,on_time,2013-12-20T23:00:00Z
856,1701,JFK,FLL,156,1069,B6,2013-12-23,on_time,2013-12-23T14:00:00Z
1905,5383,LGA,ROC,45,254,EV,2013-10-27,on_time,2013-10-27T23:00:00Z
1911,4131,EWR,RIC,51,277,EV,2013-08-27,on_time,2013-08-27T23:00:00Z
1054,2098,LGA,MIA,141,1096,DL,2013-10-14,on_time,2013-10-14T15:00:00Z
1401,4491,LGA,CLE,61,419,MQ,2013-03-03,on_time,2013-03-03T19:00:00Z
620,2180,EWR,BOS,39,200,B6,2013-11-02,on_time,2013-11-02T10:00:00Z
1659,413,JFK,LAX,322,2475,VX,2013-04-28,on_time,2013-04-28T20:00:00Z
1350,564,EWR,MCO,129,937,UA,2013-03-09,on_time,2013-03-09T18:00:00Z
1101,3230,JFK,DCA,40,213,MQ,2013-10-06,on_time,2013-10-06T15:00:00Z
724,361,LGA,PBI,136,1035,B6,2013-02-18,on_time,2013-02-18T12:00:00Z
1341,1328,LGA,MKE,99,738,WN,2013-05-04,on_time,2013-05-04T17:00:00Z
1821,1751,EWR,CLT,82,529,US,2013-11-30,on_time,2013-11-30T23:00:00Z
2116,97,JFK,DEN,214,1626,B6,2013-06-09,on_time,2013-06-10T01:00:00Z
2217,4560,EWR,DCA,37,199,EV,2013-09-20,late,2013-09-21T01:00:00Z
2055,3744,EWR,ORD,112,719,MQ,2013-02-11,on_time,2013-02-12T02:00:00Z
2144,3833,EWR,STL,147,872,EV,2013-01-27,late,2013-01-28T01:00:00Z
1219,3566,LGA,BNA,120,764,WN,2013-11-19,late,2013-11-19T16:00:00Z
1025,3795,EWR,ORD,108,719,MQ,2013-03-07,on_time,2013-03-07T15:00:00Z
758,3827,EWR,MHT,38,209,EV,2013-10-10,on_time,2013-10-10T11:00:00Z
911,1223,EWR,LAX,387,2454,UA,2013-12-07,late,2013-12-07T13:00:00Z
930,795,JFK,AUS,194,1521,B6,2013-08-07,on_time,2013-08-07T13:00:00Z
2054,371,LGA,ORD,116,733,AA,2013-07-21,on_time,2013-07-22T01:00:00Z
1321,431,LGA,SRQ,159,1047,B6,2013-11-23,on_time,2013-11-23T18:00:00Z
822,3478,LGA,DTW,79,502,MQ,2013-10-04,on_time,2013-10-04T12:00:00Z
1007,3795,EWR,ORD,99,719,MQ,2013-02-17,on_time,2013-02-17T15:00:00Z
1721,695,JFK,AUS,210,1521,AA,2013-08-15,on_time,2013-08-15T21:00:00Z
843,4629,EWR,JAX,139,820,EV,2013-12-08,on_time,2013-12-08T13:00:00Z
1447,1672,EWR,MCO,149,937,UA,2013-02-22,on_time,2013-02-22T19:00:00Z
2054,1604,EWR,BOS,44,200,UA,2013-05-07,on_time,2013-05-08T00:00:00Z
1920,400,LGA,ATL,138,762,FL,2013-12-08,late,2013-12-08T22:00:00Z
1841,7,EWR,SEA,321,2402,AS,2013-04-25,on_time,2013-04-25T22:00:00Z
1650,1373,JFK,MIA,154,1089,DL,2013-04-25,late,2013-04-25T20:00:00Z
1829,17,JFK,LAX,327,2475,DL,2013-09-02,late,2013-09-02T22:00:00Z
1638,27,JFK,SFO,334,2586,VX,2013-08-18,on_time,2013-08-18T20:00:00Z
1034,1257,LGA,IAH,238,1416,UA,2013-02-27,on_time,2013-02-27T15:00:00Z
809,3355,LGA,BNA,101,764,MQ,2013-06-12,on_time,2013-06-12T12:00:00Z
835,447,EWR,PHX,292,2133,UA,2013-10-13,on_time,2013-10-13T12:00:00Z
1700,3815,EWR,BNA,128,748,EV,2013-02-20,late,2013-02-20T20:00:00Z
1138,4548,EWR,RDU,75,416,EV,2013-07-29,on_time,2013-07-29T15:00:00Z
1150,2147,EWR,MIA,144,1085,AA,2013-08-20,on_time,2013-08-20T15:00:00Z
1618,1299,EWR,RSW,164,1068,UA,2013-12-25,on_time,2013-12-25T21:00:00Z
1744,299,LGA,MCO,140,950,B6,2013-10-19,on_time,2013-10-19T21:00:00Z
1410,673,EWR,ATL,109,746,DL,2013-11-06,on_time,2013-11-06T19:00:00Z
1016,1124,EWR,EGE,251,1725,UA,2013-12-27,on_time,2013-12-27T15:00:00Z
1532,419,JFK,SEA,330,2422,DL,2013-12-08,on_time,2013-12-08T20:00:00Z
737,983,LGA,TPA,162,1010,B6,2013-01-02,on_time,2013-01-02T12:00:00Z
713,399,JFK,LAX,342,2475,VX,2013-02-04,on_time,2013-02-04T12:00:00Z
1736,291,JFK,AUS,203,1521,AA,2013-10-11,on_time,2013-10-11T21:00:00Z
1247,1131,LGA,DTW,95,502,DL,2013-03-18,on_time,2013-03-18T16:00:00Z
1602,3985,JFK,CVG,103,589,MQ,2013-03-22,on_time,2013-03-22T20:00:00Z
1159,5675,EWR,BTV,43,266,EV,2013-10-22,on_time,2013-10-22T16:00:00Z
958,1414,EWR,TPA,154,997,UA,2013-06-04,on_time,2013-06-04T14:00:00Z
801,4364,EWR,MCI,175,1092,EV,2013-10-21,on_time,2013-10-21T12:00:00Z
1936,5594,LGA,GSO,76,461,EV,2013-04-02,on_time,2013-04-02T23:00:00Z
1022,325,LGA,ORD,109,733,AA,2013-11-03,on_time,2013-11-03T15:00:00Z
1158,863,JFK,LAX,353,2475,DL,2013-01-27,on_time,2013-01-27T17:00:00Z
1010,75,EWR,PHX,301,2133,US,2013-02-25,on_time,2013-02-25T15:00:00Z
957,405,JFK,SFO,350,2586,UA,2013-04-22,on_time,2013-04-22T14:00:00Z
829,3521,JFK,ORD,112,740,9E,2013-10-06,on_time,2013-10-06T12:00:00Z
1949,1539,EWR,SFO,344,2565,UA,2013-03-13,on_time,2013-03-13T23:00:00Z
1737,327,EWR,MCO,130,937,B6,2013-11-30,on_time,2013-11-30T22:00:00Z
1333,753,LGA,DFW,188,1389,AA,2013-04-05,on_time,2013-04-05T17:00:00Z
1802,597,EWR,SNA,300,2434,UA,2013-04-28,on_time,2013-04-28T22:00:00Z
1743,3713,LGA,XNA,176,1147,MQ,2013-11-03,on_time,2013-11-03T22:00:00Z
824,1855,LGA,STL,138,888,AA,2013-03-12,on_time,2013-03-12T12:00:00Z
818,3478,LGA,DTW,77,502,MQ,2013-10-05,on_time,2013-10-05T12:00:00Z
1327,2043,JFK,ATL,101,760,DL,2013-09-10,on_time,2013-09-10T17:00:00Z
1100,1275,JFK,SLC,275,1990,DL,2013-03-27,on_time,2013-03-27T15:00:00Z
802,655,JFK,STT,206,1623,AA,2013-03-17,on_time,2013-03-17T12:00:00Z
649,3599,LGA,MSP,161,1020,MQ,2013-09-19,on_time,2013-09-19T10:00:00Z
754,3507,JFK,MSY,178,1182,9E,2013-08-22,late,2013-08-22T12:00:00Z
1247,1612,EWR,DFW,206,1372,UA,2013-02-06,on_time,2013-02-06T17:00:00Z
638,79,JFK,MCO,142,944,B6,2013-01-16,on_time,2013-01-16T11:00:00Z
1522,4662,EWR,RDU,63,416,EV,2013-09-28,on_time,2013-09-28T19:00:00Z
1615,2443,JFK,BOS,35,187,DL,2013-10-08,on_time,2013-10-08T20:00:00Z
1432,4171,EWR,MSN,116,799,EV,2013-08-18,on_time,2013-08-18T18:00:00Z
1134,654,EWR,DEN,210,1605,UA,2013-04-30,on_time,2013-04-30T15:00:00Z
930,972,EWR,AUS,204,1504,WN,2013-05-13,on_time,2013-05-13T13:00:00Z
1354,4171,EWR,MSN,130,799,EV,2013-11-05,on_time,2013-11-05T18:00:00Z
2022,359,LGA,ORD,127,733,AA,2013-12-05,late,2013-12-05T23:00:00Z
1715,345,LGA,ORD,116,733,AA,2013-11-01,on_time,2013-11-01T21:00:00Z
1106,4679,EWR,JAX,105,820,EV,2013-09-10,on_time,2013-09-10T15:00:00Z
1253,6054,EWR,IAD,43,212,EV,2013-10-15,on_time,2013-10-15T16:00:00Z
705,305,LGA,ORD,107,733,AA,2013-09-03,on_time,2013-09-03T11:00:00Z
1541,1156,LGA,DFW,221,1389,AA,2013-11-25,on_time,2013-11-25T20:00:00Z
1834,2698,EWR,MSY,185,1167,WN,2013-10-17,on_time,2013-10-17T22:00:00Z
1657,4328,EWR,MSY,179,1167,EV,2013-11-19,on_time,2013-11-19T22:00:00Z
1049,570,EWR,BOS,35,200,UA,2013-01-11,on_time,2013-01-11T15:00:00Z
812,914,LGA,DEN,242,1620,DL,2013-10-16,on_time,2013-10-16T12:00:00Z
1555,415,EWR,ORD,105,719,UA,2013-10-08,on_time,2013-10-08T19:00:00Z
1152,2126,LGA,BOS,37,184,US,2013-02-20,on_time,2013-02-20T17:00:00Z
1600,85,JFK,SFO,343,2586,AA,2013-07-23,late,2013-07-23T19:00:00Z
1016,5736,LGA,IAD,47,229,EV,2013-01-07,on_time,2013-01-07T15:00:00Z
844,2239,EWR,DTW,79,488,DL,2013-04-15,on_time,2013-04-15T12:00:00Z
1814,179,JFK,PHX,300,2153,B6,2013-04-06,on_time,2013-04-06T21:00:00Z
1553,91,JFK,LAS,308,2248,DL,2013-04-03,on_time,2013-04-03T19:00:00Z
1428,1902,LGA,PBI,156,1035,DL,2013-01-14,on_time,2013-01-14T19:00:00Z
1456,705,JFK,SJU,202,1598,B6,2013-06-04,on_time,2013-06-04T18:00:00Z
1544,2062,LGA,CLT,95,544,US,2013-12-07,on_time,2013-12-07T20:00:00Z
1900,21,JFK,LAX,310,2475,AA,2013-01-07,on_time,2013-01-08T00:00:00Z
858,364,LGA,ORD,105,733,UA,2013-05-30,on_time,2013-05-30T13:00:00Z
628,303,LGA,ORD,104,733,AA,2013-07-14,on_time,2013-07-14T10:00:00Z
2051,629,JFK,HOU,209,1428,B6,2013-01-27,on_time,2013-01-28T01:00:00Z
1921,347,JFK,SJU,201,1598,DL,2013-11-28,on_time,2013-11-29T00:00:00Z
1755,1047,LGA,ATL,126,762,DL,2013-02-15,on_time,2013-02-15T22:00:00Z
2333,22,JFK,SYR,42,209,B6,2013-04-12,late,2013-04-13T02:00:00Z
1345,186,EWR,PHX,267,2133,US,2013-05-12,on_time,2013-05-12T17:00:00Z
750,561,LGA,DEN,207,1620,UA,2013-10-06,on_time,2013-10-06T11:00:00Z
1808,4444,EWR,DCA,44,199,EV,2013-11-30,on_time,2013-11-30T22:00:00Z
1318,1001,EWR,BNA,112,748,WN,2013-11-28,on_time,2013-11-28T18:00:00Z
2015,3413,JFK,BWI,39,184,9E,2013-05-12,late,2013-05-12T23:00:00Z
1724,1635,EWR,PHX,291,2133,UA,2013-10-23,on_time,2013-10-23T21:00:00Z
1822,1401,EWR,MIA,133,1085,UA,2013-08-25,on_time,2013-08-25T22:00:00Z
1711,1999,EWR,MIA,170,1085,AA,2013-07-21,on_time,2013-07-21T21:00:00Z
558,1178,EWR,SFO,357,2565,UA,2013-06-05,on_time,2013-06-05T10:00:00Z
2050,1071,EWR,BQN,192,1585,UA,2013-07-17,on_time,2013-07-18T00:00:00Z
1714,503,JFK,SAN,332,2446,DL,2013-04-19,on_time,2013-04-19T21:00:00Z
1835,237,EWR,DEN,228,1605,UA,2013-11-10,on_time,2013-11-10T23:00:00Z
929,2379,LGA,FLL,146,1076,DL,2013-07-06,on_time,2013-07-06T13:00:00Z
1442,316,LGA,IAH,194,1416,UA,2013-06-09,on_time,2013-06-09T18:00:00Z
750,831,LGA,DTW,81,502,DL,2013-03-19,on_time,2013-03-19T11:00:00Z
1816,547,EWR,PBI,139,1023,B6,2013-03-21,on_time,2013-03-21T21:00:00Z
1603,503,EWR,AUS,188,1504,UA,2013-07-25,late,2013-07-25T19:00:00Z
1625,1176,EWR,BOS,35,200,B6,2013-01-15,on_time,2013-01-15T21:00:00Z
841,4297,EWR,DTW,88,488,EV,2013-04-07,on_time,2013-04-07T12:00:00Z
1546,1773,JFK,LAS,284,2248,DL,2013-09-02,on_time,2013-09-02T19:00:00Z
1724,4195,EWR,BNA,128,748,EV,2013-10-22,on_time,2013-10-22T21:00:00Z
1633,423,JFK,LAX,315,2475,B6,2013-10-05,on_time,2013-10-05T20:00:00Z
1641,1178,EWR,IAH,167,1400,UA,2013-08-27,on_time,2013-08-27T20:00:00Z
1323,525,EWR,MCO,146,937,B6,2013-02-07,on_time,2013-02-07T18:00:00Z
2153,4519,EWR,BWI,36,169,EV,2013-02-10,on_time,2013-02-11T02:00:00Z
642,623,JFK,PHX,300,2153,US,2013-08-13,on_time,2013-08-13T10:00:00Z
1059,3709,EWR,ORD,112,719,MQ,2013-08-19,late,2013-08-19T11:00:00Z
659,763,JFK,LAX,316,2475,DL,2013-05-20,on_time,2013-05-20T11:00:00Z
958,673,LGA,ORD,120,733,UA,2013-10-16,on_time,2013-10-16T13:00:00Z
1313,1006,JFK,BOS,36,187,B6,2013-03-09,on_time,2013-03-09T18:00:00Z
2006,4127,JFK,IAD,43,228,9E,2013-04-29,on_time,2013-04-29T23:00:00Z
834,3330,JFK,DCA,44,213,9E,2013-03-16,on_time,2013-03-16T12:00:00Z
703,305,LGA,ORD,124,733,AA,2013-11-07,on_time,2013-11-07T12:00:00Z
1055,4471,LGA,RDU,67,431,MQ,2013-05-02,on_time,2013-05-02T15:00:00Z
1602,4,JFK,SJU,195,1598,DL,2013-06-20,on_time,2013-06-20T19:00:00Z
845,4297,EWR,DTW,81,488,EV,2013-06-14,on_time,2013-06-14T12:00:00Z
1454,750,LGA,IAH,209,1416,UA,2013-01-07,on_time,2013-01-07T19:00:00Z
724,1263,JFK,LAS,285,2248,AA,2013-10-26,on_time,2013-10-26T10:00:00Z
749,4418,JFK,DCA,48,213,MQ,2013-04-15,on_time,2013-04-15T11:00:00Z
1417,1571,EWR,PBI,160,1023,UA,2013-12-10,late,2013-12-10T18:00:00Z
1046,1903,LGA,SRQ,141,1047,DL,2013-07-15,on_time,2013-07-15T14:00:00Z
845,1401,EWR,MIA,160,1085,UA,2013-08-13,on_time,2013-08-13T12:00:00Z
32,525,EWR,DEN,210,1605,UA,2013-08-09,late,2013-08-09T22:00:00Z
1327,507,LGA,DEN,211,1620,F9,2013-09-01,on_time,2013-09-01T17:00:00Z
855,5,EWR,FLL,144,1065,B6,2013-07-08,on_time,2013-07-08T13:00:00Z
1622,1411,JFK,FLL,170,1069,DL,2013-02-19,late,2013-02-19T20:00:00Z
1453,4372,EWR,DCA,46,199,EV,2013-02-12,on_time,2013-02-12T19:00:00Z
2114,3395,JFK,DCA,43,213,9E,2013-02-17,on_time,2013-02-18T01:00:00Z
1822,734,EWR,ORD,126,719,UA,2013-05-09,on_time,2013-05-09T22:00:00Z
1454,4971,LGA,CHS,93,641,EV,2013-06-05,on_time,2013-06-05T19:00:00Z
1626,656,EWR,PHX,287,2133,US,2013-04-05,on_time,2013-04-05T20:00:00Z
1944,2714,LGA,MKE,107,738,WN,2013-02-28,on_time,2013-03-01T00:00:00Z
1900,1473,LGA,MEM,124,963,DL,2013-09-03,on_time,2013-09-03T23:00:00Z
1035,4510,EWR,MKE,105,725,EV,2013-07-18,on_time,2013-07-18T14:00:00Z
1532,419,JFK,SEA,331,2422,DL,2013-11-07,on_time,2013-11-07T20:00:00Z
1445,4403,JFK,RDU,71,427,MQ,2013-03-06,on_time,2013-03-06T19:00:00Z
1241,1006,JFK,BOS,40,187,B6,2013-01-19,on_time,2013-01-19T17:00:00Z
2009,3535,JFK,CMH,66,483,MQ,2013-08-28,on_time,2013-08-29T00:00:00Z
1436,1054,EWR,LAX,333,2454,UA,2013-09-21,on_time,2013-09-21T18:00:00Z
1028,4662,EWR,RDU,70,416,EV,2013-02-25,on_time,2013-02-25T15:00:00Z
1901,87,JFK,ATL,102,760,DL,2013-10-05,on_time,2013-10-05T23:00:00Z
820,3478,LGA,DTW,74,502,MQ,2013-08-29,on_time,2013-08-29T12:00:00Z
753,1733,LGA,CLT,79,544,US,2013-08-21,on_time,2013-08-21T11:00:00Z
853,430,EWR,TPA,157,997,UA,2013-02-04,on_time,2013-02-04T13:00:00Z
1053,2171,LGA,DCA,46,214,US,2013-06-30,on_time,2013-06-30T15:00:00Z
1923,4019,JFK,RIC,52,288,9E,2013-01-03,late,2013-01-03T23:00:00Z
555,2114,LGA,BOS,35,184,US,2013-04-25,on_time,2013-04-25T10:00:00Z
1509,4633,EWR,BTV,44,266,EV,2013-07-02,late,2013-07-02T17:00:00Z
2125,4619,EWR,PHL,31,80,EV,2013-01-16,on_time,2013-01-17T02:00:00Z
1607,3437,JFK,MKE,122,745,9E,2013-04-03,on_time,2013-04-03T20:00:00Z
639,3496,LGA,PIT,55,335,9E,2013-10-10,on_time,2013-10-10T10:00:00Z
1026,4255,EWR,CHS,87,628,EV,2013-08-21,on_time,2013-08-21T14:00:00Z
2136,4361,EWR,TYS,87,631,EV,2013-05-21,late,2013-05-21T23:00:00Z
1654,36,JFK,ROC,52,264,B6,2013-03-27,on_time,2013-03-27T21:00:00Z
2200,4179,EWR,PWM,47,284,EV,2013-12-10,on_time,2013-12-11T02:00:00Z
1652,185,JFK,SAN,336,2446,B6,2013-03-15,on_time,2013-03-15T20:00:00Z
2007,1022,EWR,IAH,190,1400,UA,2013-10-05,on_time,2013-10-06T00:00:00Z
2152,475,EWR,IAH,184,1400,UA,2013-11-10,on_time,2013-11-11T02:00:00Z
1725,369,LGA,PBI,138,1035,B6,2013-03-09,late,2013-03-09T21:00:00Z
1225,523,EWR,MCO,121,937,B6,2013-05-10,late,2013-05-10T15:00:00Z
1548,485,EWR,DEN,220,1605,UA,2013-11-16,on_time,2013-11-16T20:00:00Z
1755,989,JFK,FLL,155,1069,B6,2013-01-23,on_time,2013-01-23T22:00:00Z
1707,1119,JFK,CLT,83,541,B6,2013-12-18,on_time,2013-12-18T22:00:00Z
1752,391,LGA,MCO,146,950,B6,2013-06-19,on_time,2013-06-19T21:00:00Z
1513,3678,EWR,ORD,110,719,MQ,2013-08-01,late,2013-08-01T17:00:00Z
1320,4426,LGA,CMH,88,479,MQ,2013-03-19,late,2013-03-19T17:00:00Z
1624,1161,LGA,PBI,144,1035,B6,2013-08-15,on_time,2013-08-15T20:00:00Z
1658,509,LGA,DEN,206,1620,UA,2013-09-20,on_time,2013-09-20T21:00:00Z
609,1989,EWR,CLT,95,529,US,2013-12-12,on_time,2013-12-12T11:00:00Z
1042,893,JFK,CLT,85,541,US,2013-12-16,on_time,2013-12-16T15:00:00Z
1830,425,JFK,CLT,87,541,US,2013-12-12,on_time,2013-12-12T23:00:00Z
2114,2363,JFK,LAX,347,2475,DL,2013-01-03,on_time,2013-01-04T02:00:00Z
736,421,EWR,SFO,330,2565,UA,2013-07-07,on_time,2013-07-07T11:00:00Z
1248,1853,EWR,DFW,197,1372,AA,2013-01-24,on_time,2013-01-24T17:00:00Z
2022,354,LGA,CAK,65,397,FL,2013-10-31,on_time,2013-11-01T00:00:00Z
1454,2285,JFK,MCO,149,944,AA,2013-10-22,on_time,2013-10-22T18:00:00Z
1850,3730,EWR,ORD,110,719,MQ,2013-03-11,on_time,2013-03-11T22:00:00Z
1247,1734,EWR,SAN,338,2425,UA,2013-12-23,on_time,2013-12-23T17:00:00Z
1943,4108,EWR,IAD,52,212,EV,2013-01-09,on_time,2013-01-10T00:00:00Z
723,461,LGA,PBI,152,1035,B6,2013-11-28,on_time,2013-11-28T12:00:00Z
1542,4178,JFK,ROC,54,264,9E,2013-02-01,on_time,2013-02-01T20:00:00Z
1539,3622,LGA,BNA,105,764,MQ,2013-07-29,on_time,2013-07-29T19:00:00Z
635,413,JFK,SJU,188,1598,AA,2013-04-04,on_time,2013-04-04T10:00:00Z
1138,327,LGA,ORD,105,733,AA,2013-09-29,on_time,2013-09-29T15:00:00Z
1750,3355,JFK,MSP,160,1029,9E,2013-01-17,late,2013-01-17T20:00:00Z
1125,695,JFK,MCO,153,944,DL,2013-01-03,on_time,2013-01-03T16:00:00Z
1630,4294,EWR,SAV,102,708,EV,2013-07-23,on_time,2013-07-23T20:00:00Z
1607,343,LGA,ORD,102,733,AA,2013-08-25,on_time,2013-08-25T20:00:00Z
1025,604,EWR,PHX,281,2133,US,2013-10-05,on_time,2013-10-05T14:00:00Z
856,120,JFK,LAX,291,2475,DL,2013-07-11,on_time,2013-07-11T13:00:00Z
1327,1517,LGA,BNA,119,764,WN,2013-08-13,late,2013-08-13T15:00:00Z
852,1061,JFK,AUS,224,1521,B6,2013-01-18,on_time,2013-01-18T13:00:00Z
1456,4152,EWR,ATL,111,746,EV,2013-06-09,on_time,2013-06-09T18:00:00Z
1438,1779,LGA,FLL,163,1076,DL,2013-07-03,on_time,2013-07-03T18:00:00Z
1358,682,EWR,IAH,221,1400,UA,2013-05-10,late,2013-05-10T17:00:00Z
1853,3992,LGA,GSP,101,610,9E,2013-11-12,on_time,2013-11-13T00:00:00Z
1152,1174,LGA,PBI,152,1035,DL,2013-05-13,on_time,2013-05-13T15:00:00Z
1953,2189,LGA,DCA,40,214,US,2013-06-12,on_time,2013-06-13T00:00:00Z
1857,2928,JFK,ORD,132,740,9E,2013-11-06,on_time,2013-11-07T00:00:00Z
709,831,LGA,DTW,81,502,DL,2013-04-26,on_time,2013-04-26T11:00:00Z
1456,3824,EWR,STL,146,872,EV,2013-02-14,on_time,2013-02-14T19:00:00Z
